Date,Open,High,Low,Close,Volume
2023-07-06 00:00:00+07:00,51.0,53.0,51.0,51.0,11137000
2023-07-07 00:00:00+07:00,51.0,52.0,51.0,52.0,1254300
2023-07-10 00:00:00+07:00,52.0,52.0,51.0,51.0,2325200
2023-07-11 00:00:00+07:00,52.0,53.0,51.0,52.0,4743100
2023-07-12 00:00:00+07:00,52.0,55.0,52.0,54.0,5411500
2023-07-13 00:00:00+07:00,54.0,57.0,54.0,56.0,6296400
2023-07-14 00:00:00+07:00,57.0,57.0,56.0,56.0,4355100
2023-07-17 00:00:00+07:00,56.0,59.0,56.0,58.0,9487100
2023-07-18 00:00:00+07:00,58.0,58.0,55.0,56.0,6776600
2023-07-20 00:00:00+07:00,56.0,57.0,56.0,56.0,1334100
2023-07-21 00:00:00+07:00,57.0,58.0,56.0,57.0,1628700
2023-07-24 00:00:00+07:00,57.0,58.0,55.0,55.0,1912400
2023-07-25 00:00:00+07:00,56.0,57.0,55.0,55.0,4100600
2023-07-26 00:00:00+07:00,55.0,57.0,55.0,57.0,4091900
2023-07-27 00:00:00+07:00,57.0,58.0,56.0,57.0,6312300
2023-07-28 00:00:00+07:00,57.0,57.0,56.0,57.0,2180700
2023-07-31 00:00:00+07:00,57.0,58.0,56.0,58.0,2595100
2023-08-01 00:00:00+07:00,58.0,58.0,57.0,57.0,3188900
2023-08-02 00:00:00+07:00,57.0,57.0,56.0,56.0,2685300
2023-08-03 00:00:00+07:00,56.0,58.0,52.0,54.0,10825700
2023-08-04 00:00:00+07:00,54.0,56.0,54.0,55.0,830500
2023-08-07 00:00:00+07:00,55.0,56.0,55.0,56.0,1153000
2023-08-08 00:00:00+07:00,56.0,57.0,55.0,56.0,4294800
2023-08-09 00:00:00+07:00,56.0,59.0,56.0,58.0,7604100
2023-08-10 00:00:00+07:00,58.0,59.0,56.0,57.0,2041900
2023-08-11 00:00:00+07:00,55.0,57.0,55.0,56.0,3344200
2023-08-14 00:00:00+07:00,57.0,57.0,54.0,54.0,7653400
2023-08-15 00:00:00+07:00,55.0,56.0,53.0,54.0,2194100
2023-08-16 00:00:00+07:00,55.0,56.0,54.0,54.0,2374500
2023-08-18 00:00:00+07:00,54.0,55.0,53.0,55.0,2640500
2023-08-21 00:00:00+07:00,55.0,55.0,52.0,52.0,6532400
2023-08-22 00:00:00+07:00,52.0,55.0,52.0,54.0,3461300
2023-08-23 00:00:00+07:00,54.0,54.0,53.0,53.0,550600
2023-08-24 00:00:00+07:00,54.0,54.0,53.0,53.0,1250200
2023-08-25 00:00:00+07:00,54.0,54.0,52.0,52.0,10358000
2023-08-28 00:00:00+07:00,52.0,53.0,51.0,52.0,4771800
2023-08-29 00:00:00+07:00,53.0,54.0,50.0,50.0,21526100
2023-08-30 00:00:00+07:00,52.0,53.0,50.0,51.0,30548700
2023-08-31 00:00:00+07:00,51.0,52.0,50.0,51.0,3561600
2023-09-01 00:00:00+07:00,52.0,53.0,51.0,52.0,2695500
2023-09-04 00:00:00+07:00,52.0,53.0,51.0,51.0,2802400
2023-09-05 00:00:00+07:00,52.0,53.0,51.0,52.0,5894900
2023-09-06 00:00:00+07:00,53.0,53.0,51.0,51.0,3438400
2023-09-07 00:00:00+07:00,51.0,54.0,51.0,53.0,9321300
2023-09-08 00:00:00+07:00,70.0,70.0,52.0,53.0,6204600
2023-09-11 00:00:00+07:00,54.0,54.0,52.0,53.0,2399800
2023-09-12 00:00:00+07:00,53.0,54.0,52.0,52.0,5527300
2023-09-13 00:00:00+07:00,52.0,53.0,51.0,52.0,1578900
2023-09-14 00:00:00+07:00,52.0,53.0,51.0,51.0,14499700
2023-09-15 00:00:00+07:00,51.0,52.0,51.0,52.0,2663200
2023-09-18 00:00:00+07:00,52.0,52.0,51.0,52.0,3660000
2023-09-19 00:00:00+07:00,52.0,52.0,50.0,51.0,5286800
2023-09-20 00:00:00+07:00,51.0,51.0,50.0,50.0,4940800
2023-09-21 00:00:00+07:00,51.0,51.0,50.0,51.0,868600
2023-09-22 00:00:00+07:00,51.0,52.0,50.0,51.0,14693300
2023-09-25 00:00:00+07:00,51.0,51.0,50.0,51.0,24553700
2023-09-26 00:00:00+07:00,51.0,51.0,50.0,51.0,3626400
2023-09-27 00:00:00+07:00,51.0,51.0,50.0,50.0,878700
2023-09-29 00:00:00+07:00,50.0,51.0,50.0,51.0,4189200
2023-10-02 00:00:00+07:00,51.0,51.0,50.0,51.0,1787900
2023-10-03 00:00:00+07:00,51.0,51.0,50.0,50.0,7861900
2023-10-04 00:00:00+07:00,51.0,51.0,50.0,50.0,19032500
2023-10-05 00:00:00+07:00,51.0,51.0,50.0,51.0,5424000
2023-10-06 00:00:00+07:00,51.0,51.0,50.0,50.0,2177000
2023-10-09 00:00:00+07:00,50.0,51.0,50.0,51.0,716600
2023-10-10 00:00:00+07:00,51.0,51.0,50.0,51.0,4868800
2023-10-11 00:00:00+07:00,51.0,51.0,50.0,51.0,4387700
2023-10-12 00:00:00+07:00,51.0,51.0,50.0,51.0,7946500
2023-10-13 00:00:00+07:00,51.0,51.0,50.0,51.0,960300
2023-10-16 00:00:00+07:00,51.0,55.0,50.0,51.0,43794600
2023-10-17 00:00:00+07:00,51.0,52.0,50.0,52.0,6542000
2023-10-18 00:00:00+07:00,52.0,52.0,50.0,51.0,4172700
2023-10-19 00:00:00+07:00,51.0,52.0,50.0,51.0,3084100
2023-10-20 00:00:00+07:00,50.0,51.0,50.0,51.0,1568500
2023-10-23 00:00:00+07:00,51.0,52.0,50.0,51.0,6582900
2023-10-24 00:00:00+07:00,51.0,56.0,50.0,53.0,57711000
2023-10-25 00:00:00+07:00,52.0,55.0,52.0,53.0,8667600
2023-10-26 00:00:00+07:00,54.0,56.0,52.0,52.0,9209200
2023-10-27 00:00:00+07:00,52.0,54.0,52.0,52.0,3761700
2023-10-30 00:00:00+07:00,52.0,56.0,52.0,54.0,13210400
2023-10-31 00:00:00+07:00,54.0,55.0,53.0,54.0,10192300
2023-11-01 00:00:00+07:00,54.0,55.0,51.0,53.0,6731700
2023-11-02 00:00:00+07:00,53.0,53.0,51.0,52.0,3774500
2023-11-03 00:00:00+07:00,50.0,52.0,50.0,51.0,19007500
2023-11-06 00:00:00+07:00,51.0,52.0,51.0,51.0,8511600
2023-11-07 00:00:00+07:00,52.0,52.0,51.0,51.0,6438800
2023-11-08 00:00:00+07:00,52.0,53.0,50.0,51.0,9688200
2023-11-09 00:00:00+07:00,51.0,52.0,50.0,51.0,7480600
2023-11-10 00:00:00+07:00,52.0,52.0,50.0,51.0,4889300
2023-11-13 00:00:00+07:00,52.0,52.0,50.0,51.0,1612000
2023-11-14 00:00:00+07:00,51.0,52.0,50.0,51.0,2824700
2023-11-15 00:00:00+07:00,52.0,55.0,51.0,54.0,23114600
2023-11-16 00:00:00+07:00,54.0,55.0,53.0,54.0,7088900
2023-11-17 00:00:00+07:00,54.0,55.0,53.0,54.0,1911200
2023-11-20 00:00:00+07:00,54.0,55.0,53.0,54.0,5259000
2023-11-21 00:00:00+07:00,54.0,55.0,52.0,54.0,5891600
2023-11-22 00:00:00+07:00,54.0,54.0,52.0,52.0,6554600
2023-11-23 00:00:00+07:00,53.0,54.0,52.0,53.0,3769300
2023-11-24 00:00:00+07:00,54.0,54.0,53.0,53.0,785100
2023-11-27 00:00:00+07:00,53.0,54.0,52.0,53.0,2424500
2023-11-28 00:00:00+07:00,54.0,64.0,54.0,61.0,59768600
2023-11-29 00:00:00+07:00,63.0,69.0,61.0,61.0,127391000
2023-11-30 00:00:00+07:00,62.0,65.0,58.0,59.0,37758200
2023-12-01 00:00:00+07:00,59.0,64.0,57.0,63.0,20571300
2023-12-04 00:00:00+07:00,65.0,70.0,63.0,63.0,85678600
2023-12-05 00:00:00+07:00,63.0,64.0,59.0,60.0,19849400
2023-12-06 00:00:00+07:00,60.0,64.0,59.0,62.0,15246700
2023-12-07 00:00:00+07:00,64.0,64.0,59.0,61.0,8137500
2023-12-08 00:00:00+07:00,61.0,61.0,59.0,59.0,7688000
2023-12-11 00:00:00+07:00,58.0,60.0,57.0,58.0,14888600
